Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/lxURhvoa3hRj,Rob Message,Second,Luke Lambourne,1,24,WON,30,55,58,85,42,140,51,40,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/lxURhvoa3hRj,Luke Lambourne,First,Rob Message,1,24,LOST,26,16,59,85,46,60,45,114,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/lxURhvoa3hRj,Rob Message,First,Luke Lambourne,2,30,LOST,26,60,180,93,28,58,46,0,6,2,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/lxURhvoa3hRj,Luke Lambourne,Second,Rob Message,2,28,WON,30,44,125,19,43,79,40,81,20,20,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/lxURhvoa3hRj,Rob Message,Second,Luke Lambourne,3,18,LOST,60,69,58,85,43,93,,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/lxURhvoa3hRj,Luke Lambourne,First,Rob Message,3,20,WON,125,7,121,86,68,38,56,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/lxURhvoa3hRj,Rob Message,First,Luke Lambourne,4,23,WON,44,54,121,42,140,85,0,15,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/lxURhvoa3hRj,Luke Lambourne,Second,Rob Message,4,21,LOST,125,64,42,125,70,55,12,,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/lxURhvoa3hRj,Rob Message,Second,Luke Lambourne,5,29,WON,41,100,45,26,58,57,27,43,64,40,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/lxURhvoa3hRj,Luke Lambourne,First,Rob Message,5,30,LOST,41,74,70,60,41,100,97,10,0,4,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/y7Bmc6KcuKx1,John Nelson,First,Odbileg Khayankhyarvaa,1,23,WON,100,39,45,96,57,41,85,38,,,,
Ruislip,,,28/02/2025,Last 16,https://www.dartsatlas.com/matches/y7Bmc6KcuKx1,Odbileg Khayankhyarvaa,Second,John Nelson,1,21,LOST,41,81,81,5,45,85,99,,,,,
