Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12,Throw_13,Throw_14,Throw_15,Throw_16,Throw_17
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/o1Bb6xw0cSI4,John Mcdermott,First,George Whyte,4,18,LOST,134,84,59,43,35,96,,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/o1Bb6xw0cSI4,George Whyte,Second,John Mcdermott,4,17,WON,140,140,58,60,56,47,,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/qx27ybG4vul0,Charlie Green,First,Stephen Bardon,1,24,WON,83,40,125,45,58,118,0,32,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/qx27ybG4vul0,Stephen Bardon,Second,Charlie Green,1,21,LOST,55,59,100,85,55,85,38,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/qx27ybG4vul0,Charlie Green,Second,Stephen Bardon,2,16,WON,45,140,100,140,68,8,,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/qx27ybG4vul0,Stephen Bardon,First,Charlie Green,2,18,LOST,100,60,100,60,100,57,,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/qx27ybG4vul0,Charlie Green,First,Stephen Bardon,3,23,WON,45,41,96,40,80,121,33,45,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/qx27ybG4vul0,Stephen Bardon,Second,Charlie Green,3,21,LOST,40,60,180,55,84,33,9,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/qx27ybG4vul0,Charlie Green,Second,Stephen Bardon,4,20,WON,99,84,99,25,60,94,40,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/qx27ybG4vul0,Stephen Bardon,First,Charlie Green,4,21,LOST,60,60,140,60,54,42,65,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/oPntdoS2dTLL,Kieran Parsons,First,Paul Upfold,1,19,WON,60,95,100,60,60,92,34,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/oPntdoS2dTLL,Paul Upfold,Second,Kieran Parsons,1,18,LOST,60,85,40,100,92,84,,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/oPntdoS2dTLL,Kieran Parsons,Second,Paul Upfold,2,18,LOST,58,41,77,60,57,100,,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/oPntdoS2dTLL,Paul Upfold,First,Kieran Parsons,2,21,WON,85,36,45,81,45,95,114,,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/oPntdoS2dTLL,Kieran Parsons,First,Paul Upfold,3,24,LOST,100,42,75,67,60,83,50,12,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/oPntdoS2dTLL,Paul Upfold,Second,Kieran Parsons,3,23,WON,100,140,60,45,140,0,12,4,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/oPntdoS2dTLL,Kieran Parsons,Second,Paul Upfold,4,30,WON,41,100,140,30,55,31,48,16,20,20,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/oPntdoS2dTLL,Paul Upfold,First,Kieran Parsons,4,30,LOST,43,45,60,55,85,59,25,57,24,38,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/oPntdoS2dTLL,Kieran Parsons,First,Paul Upfold,5,27,LOST,59,79,43,100,100,55,45,10,5,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/oPntdoS2dTLL,Paul Upfold,Second,Kieran Parsons,5,27,WON,90,41,26,82,98,52,54,28,30,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/oPntdoS2dTLL,Kieran Parsons,Second,Paul Upfold,6,24,LOST,100,41,60,31,43,32,100,78,,,,,,,,,
Ruislip,,,26/04/2025,Quarter-Final,https://www.dartsatlas.com/matches/oPntdoS2dTLL,Paul Upfold,First,Kieran Parsons,6,26,WON,83,45,83,44,26,40,60,80,40,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/O9rrB18sGS2V,Nick Holman,First,Philip Johnson,1,20,WON,60,100,60,62,115,54,50,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/O9rrB18sGS2V,Philip Johnson,Second,Nick Holman,1,18,LOST,26,41,85,95,98,55,,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/O9rrB18sGS2V,Nick Holman,Second,Philip Johnson,2,27,WON,100,55,24,60,100,42,100,15,5,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/O9rrB18sGS2V,Philip Johnson,First,Nick Holman,2,27,LOST,80,60,85,41,47,80,62,16,0,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/O9rrB18sGS2V,Nick Holman,First,Philip Johnson,3,18,WON,137,79,40,43,140,62,,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/O9rrB18sGS2V,Philip Johnson,Second,Nick Holman,3,15,LOST,30,28,60,45,42,,,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/O9rrB18sGS2V,Nick Holman,Second,Philip Johnson,4,29,WON,78,83,40,100,60,100,20,10,2,8,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/O9rrB18sGS2V,Philip Johnson,First,Nick Holman,4,30,LOST,42,81,62,21,43,60,41,28,59,30,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/hyTULSorkt7j,John Green,Second,Ryan Howard,1,26,WON,26,140,60,60,66,45,26,58,20,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/hyTULSorkt7j,Ryan Howard,First,John Green,1,27,LOST,81,59,41,81,26,99,40,34,32,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/hyTULSorkt7j,John Green,First,Ryan Howard,2,36,WON,26,26,38,45,45,82,85,22,34,33,33,32,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/hyTULSorkt7j,Ryan Howard,Second,John Green,2,33,LOST,59,29,83,60,60,60,30,80,8,24,0,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/hyTULSorkt7j,John Green,Second,Ryan Howard,3,29,WON,95,45,3,28,15,140,56,13,74,32,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/hyTULSorkt7j,Ryan Howard,First,John Green,3,30,LOST,26,59,46,43,55,41,43,60,30,11,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/hyTULSorkt7j,John Green,First,Ryan Howard,4,21,WON,100,60,81,45,95,100,20,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/hyTULSorkt7j,Ryan Howard,Second,John Green,4,18,LOST,40,39,39,100,60,47,,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/ADEbF71w4lpb,John Mcdermott,First,Luke Jackman,1,21,LOST,129,60,100,100,0,60,36,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/ADEbF71w4lpb,Luke Jackman,Second,John Mcdermott,1,21,WON,58,70,135,44,60,94,40,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/ADEbF71w4lpb,John Mcdermott,Second,Luke Jackman,2,33,LOST,85,58,94,44,55,57,81,11,0,0,0,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/ADEbF71w4lpb,Luke Jackman,First,John Mcdermott,2,36,WON,28,66,100,60,81,76,65,13,6,2,0,4,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/ADEbF71w4lpb,John Mcdermott,First,Luke Jackman,3,23,WON,85,45,140,41,25,117,32,16,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/ADEbF71w4lpb,Luke Jackman,Second,John Mcdermott,3,21,LOST,121,80,100,48,92,20,36,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/ADEbF71w4lpb,John Mcdermott,Second,Luke Jackman,4,18,WON,100,60,81,125,65,70,,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/ADEbF71w4lpb,Luke Jackman,First,John Mcdermott,4,18,LOST,43,38,25,60,80,125,,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/ADEbF71w4lpb,John Mcdermott,First,Luke Jackman,5,23,WON,55,45,45,82,83,83,56,52,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/ADEbF71w4lpb,Luke Jackman,Second,John Mcdermott,5,21,LOST,45,43,100,43,41,59,105,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/ADEbF71w4lpb,John Mcdermott,Second,Luke Jackman,6,18,LOST,60,41,85,81,140,64,,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/ADEbF71w4lpb,Luke Jackman,First,John Mcdermott,6,21,WON,43,85,140,45,125,33,30,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/ADEbF71w4lpb,John Mcdermott,First,Luke Jackman,7,30,WON,24,41,22,137,41,45,60,36,66,29,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/ADEbF71w4lpb,Luke Jackman,Second,John Mcdermott,7,27,LOST,45,75,64,47,60,31,89,65,17,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/dOy4t2ZUbmpG,George Whyte,Second,Rob Message,1,21,LOST,45,60,81,83,120,60,12,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/dOy4t2ZUbmpG,Rob Message,First,George Whyte,1,22,WON,125,30,81,105,100,0,52,8,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/dOy4t2ZUbmpG,George Whyte,First,Rob Message,2,17,WON,59,42,140,119,57,84,,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/dOy4t2ZUbmpG,Rob Message,Second,George Whyte,2,15,LOST,85,52,60,82,94,,,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/dOy4t2ZUbmpG,George Whyte,Second,Rob Message,3,22,WON,120,96,41,100,44,90,6,4,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/dOy4t2ZUbmpG,Rob Message,First,George Whyte,3,24,LOST,66,45,45,45,28,140,33,59,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/dOy4t2ZUbmpG,George Whyte,First,Rob Message,4,27,WON,100,55,60,100,60,46,60,0,20,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/dOy4t2ZUbmpG,Rob Message,Second,George Whyte,4,24,LOST,11,123,140,100,55,0,42,22,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/dOy4t2ZUbmpG,George Whyte,Second,Rob Message,5,19,WON,100,80,95,60,82,56,28,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/dOy4t2ZUbmpG,Rob Message,First,George Whyte,5,21,LOST,100,55,60,140,81,45,0,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/0KFiVRfRkX1q,Charlie Green,Second,Steve Henry,1,20,WON,45,60,100,140,42,94,20,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/0KFiVRfRkX1q,Steve Henry,First,Charlie Green,1,21,LOST,41,30,60,42,95,57,58,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/0KFiVRfRkX1q,Charlie Green,First,Steve Henry,2,21,WON,59,58,60,41,140,123,20,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/0KFiVRfRkX1q,Steve Henry,Second,Charlie Green,2,18,LOST,57,81,29,55,31,45,,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/0KFiVRfRkX1q,Charlie Green,Second,Steve Henry,3,21,LOST,93,100,140,100,43,1,0,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/0KFiVRfRkX1q,Steve Henry,First,Charlie Green,3,23,WON,60,80,38,100,77,92,36,18,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/0KFiVRfRkX1q,Charlie Green,First,Steve Henry,4,21,LOST,60,82,97,58,96,52,36,,,,,,,,,,
Ruislip,,,26/04/2025,Last 16,https://www.dartsatlas.com/matches/0KFiVRfRkX1q,Steve Henry,Second,Charlie Green,4,21,WON,99,40,59,140,65,49,49,,,,,,,,,,
