Venue,Division,Season,Date,Round,URL,Player,First Thrower,Opponent,Leg,Total Darts,Result,Throw_1,Throw_2,Throw_3,Throw_4,Throw_5,Throw_6,Throw_7,Throw_8,Throw_9,Throw_10,Throw_11,Throw_12
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/gfV9fc4csuuL,Kian Dominguez,First,Charlie Sutherland,1,21,LOST,34,80,60,60,58,57,40,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/gfV9fc4csuuL,Charlie Sutherland,Second,Kian Dominguez,1,21,WON,47,100,42,45,59,100,108,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/gfV9fc4csuuL,Kian Dominguez,Second,Charlie Sutherland,2,17,WON,180,100,81,57,44,39,,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/gfV9fc4csuuL,Charlie Sutherland,First,Kian Dominguez,2,18,LOST,140,100,57,56,58,24,,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/gfV9fc4csuuL,Kian Dominguez,First,Charlie Sutherland,3,22,WON,22,60,41,100,180,66,16,16,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/gfV9fc4csuuL,Charlie Sutherland,Second,Kian Dominguez,3,21,LOST,43,42,25,67,99,140,60,,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/gfV9fc4csuuL,Kian Dominguez,Second,Charlie Sutherland,4,23,WON,93,60,83,83,40,95,31,16,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/gfV9fc4csuuL,Charlie Sutherland,First,Kian Dominguez,4,24,LOST,58,61,135,140,93,0,7,0,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/gfV9fc4csuuL,Kian Dominguez,First,Charlie Sutherland,5,27,LOST,93,96,31,54,58,80,49,20,0,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/gfV9fc4csuuL,Charlie Sutherland,Second,Kian Dominguez,5,27,WON,82,45,77,24,97,59,52,33,32,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/gfV9fc4csuuL,Kian Dominguez,Second,Charlie Sutherland,6,22,WON,119,40,44,60,60,80,74,24,,,,
Morden,,,29/06/2025,Quarter-Final,https://www.dartsatlas.com/matches/gfV9fc4csuuL,Charlie Sutherland,First,Kian Dominguez,6,24,LOST,83,41,60,100,60,137,10,0,,,,
